	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	NA	NA	NA	NA	NA	NA
MSTRG.10253	2331.23374154541	-1.77795348974432	0.133648994444527	1504.77173205171	0	0	chr16	10528421	10580632	-	NA	EMP2
MSTRG.10914	244.169204574351	2.1042534149555	1.35672130530041	1559.16406648371	0	0	chr16	66470688	66474549	None	NA	NA
MSTRG.12037	2489.87396816041	0.462539042136707	0.123876070046233	1758.81181689199	0	0	chr17	35350304	35373701	-	NA	SLFN11
MSTRG.1338	397.441170677781	10.5472955209956	0.859162514932461	1537.97632862717	0	0	chr1	51907955	51990700	-	NA	RAB3B
MSTRG.13997	2011.46006216846	-9.18096244005106	0.434993249971786	1701.62746945624	0	0	chr19	12796819	12801800	-	NA	PRDX2
MSTRG.17375	2758.77455977715	11.2399919541691	0.455871934538769	2900.84466660989	0	0	chr20	58515378	58619888	+	NA	APCDD1L-DT
MSTRG.17637	359.77150956706	0.847135234564812	1.67132672911975	1815.65668363525	0	0	chr21	36069940	36073166	+	NA	CBR1
MSTRG.1829	451.717924457162	-0.112062583662308	0.736550215315613	1697.94494415511	0	0	chr1	109309567	109397918	-	NA	SORT1
MSTRG.19268	947.032008536265	-9.2488647114597	0.380200476419518	2181.52668153781	0	0	chr3	119146150	119205143	+	NA	TEX55
MSTRG.19721	573.644171264978	-1.49698951510558	0.360765267063364	1757.00036323973	0	0	chr3	160755601	161078902	+	NA	PPM1L
MSTRG.20163	2532.68790766941	-5.67190399009939	0.150047887635758	2754.51671195057	0	0	chr4	7754076	7778928	+	NA	AFAP1-AS1
MSTRG.21026	846.830851251482	-5.00295105258118	0.860164756512602	2515.32743386094	0	0	chr4	161383896	162164004	-	NA	FSTL5
MSTRG.21699	2102.1843250276	6.92869770852757	0.195536236711917	1613.72209653423	0	0	chr5	82279461	82392213	+	NA	ATP6AP1L
MSTRG.22998	2063.42918731949	-7.04825235343602	0.203567578844978	1621.78937070087	0	0	chr6	43076306	43161719	+	NA	PTK7
MSTRG.23085	785.968857384266	-13.8632099501513	1.18957303124777	2038.78079265752	0	0	chr6	55753652	55875590	-	NA	BMP5
MSTRG.24280	401.836024620788	3.88667642829197	0.175047626910667	2012.17334118946	0	0	chr7	54985526	55001682	+	NA	NA
MSTRG.24498	2162.21292568252	-12.976058297864	1.18469732551292	1792.08869419856	0	0	chr7	79768027	80226181	+	NA	GNAI1
MSTRG.24905	423.799389524378	10.2401849358859	0.739253726615801	2483.56691045764	0	0	chr7	130486170	130506465	+	NA	MEST
MSTRG.25453	846.692906485973	-14.1617149555946	1.18966618955528	2466.98231200764	0	0	chr8	31275541	31390805	+	NA	AC068672.2
MSTRG.25918	5210.103464237	-0.829840398303465	0.115001561050328	1696.92608629834	0	0	chr8	97868839	98036724	+	NA	MATN2
MSTRG.26710	238.632347629871	-11.4226409638317	1.19124399816493	1865.49465678189	0	0	chr9	75890643	76362975	+	NA	PCSK5
MSTRG.27956	599.732249643651	-13.7158744502256	1.20232179137375	1644.82772317406	0	0	chrX	103252994	103255192	-	NA	TCEAL8
MSTRG.3037	743.692498613093	-13.0639529705159	1.19496210689594	2257.24535455928	0	0	chr1	235975829	236065109	-	NA	NID1
MSTRG.4132	642.684476521436	1.15117038995145	0.79077871227501	2212.17040122502	0	0	chr10	113550836	113589602	+	NA	HABP2
MSTRG.7732	1140.76108715518	13.1109566150144	1.18497172674964	3121.34276552792	0	0	chr13	95578201	95644706	-	NA	DZIP1
MSTRG.8428	1939.96692448612	0.150643608822585	0.882824973216703	3506.33787643357	0	0	chr14	68119951	68167544	-	NA	NA
MSTRG.9353	3717.66485630284	5.35026319590921	0.170925240977345	1989.51344869167	0	0	chr15	58410568	58569844	+	NA	LIPC
MSTRG.7466	384.010816226968	11.3579992424233	1.18990084992357	1485.68123491011	7.50979781678695e-322	6.42250754998412e-319	chr13	36168216	36297842	-	NA	SOHLH2
